time,timestep,real,predicted
2019-05-01  06:45:00,2,0.032699,-0.020836677
2019-05-01  06:45:00,3,0.032699,0.017575275
2019-05-01  07:00:00,0,0.032699,-0.095043704
2019-05-01  07:00:00,1,0.032699,-0.13672036
2019-05-01  07:00:00,2,0.032699,-0.120379016
2019-05-01  07:00:00,3,0.032699,-0.13606821
2019-05-01  07:15:00,0,0.032699,-0.061409466
2019-05-01  07:15:00,1,0.032699,-0.109601
2019-05-01  07:15:00,2,0.032699,-0.087671235
2019-05-01  07:15:00,3,0.032699,-0.10658719
2019-05-01  07:30:00,0,0.032699,-0.074651256
2019-05-01  07:30:00,1,0.032699,-0.14428917
2019-05-01  07:30:00,2,0.032699,-0.11360927
2019-05-01  07:30:00,3,0.032699,-0.14081426
2019-05-01  07:45:00,0,0.032699,-0.012703812
2019-05-01  07:45:00,1,0.032699,-0.13011944
2019-05-01  07:45:00,2,0.032699,-0.08664188
2019-05-01  07:45:00,3,0.032699,-0.1291372
2019-05-01  08:00:00,0,0.032699,0.038489044
2019-05-01  08:00:00,1,0.032699,-0.0015784875
2019-05-01  08:00:00,2,0.032699,0.020170707
2019-05-01  08:00:00,3,0.032699,0.009477101
2019-05-01  08:15:00,0,0.032699,-0.032749496
2019-05-01  08:15:00,1,0.032699,-0.039951548
2019-05-01  08:15:00,2,0.032699,-0.03443854
2019-05-01  08:15:00,3,0.032699,-0.037282445
2019-05-01  08:30:00,0,0.032699,-0.08128834
2019-05-01  08:30:00,1,0.032699,-0.030251637
2019-05-01  08:30:00,2,0.032699,-0.03969421
2019-05-01  08:30:00,3,0.032699,-0.024020799
2019-05-01  08:45:00,0,0.032699,-0.08563363
2019-05-01  08:45:00,1,0.032699,0.0153038725
2019-05-01  08:45:00,2,0.032699,-0.011237528
2019-05-01  08:45:00,3,0.032699,0.02117141
2019-05-01  09:00:00,0,0.032699,-0.05432503
2019-05-01  09:00:00,1,0.032699,0.033573914
2019-05-01  09:00:00,2,0.032699,0.005261708
2019-05-01  09:00:00,3,0.032699,0.02960717
2019-05-01  09:15:00,0,0.032699,-0.009643592
2019-05-01  09:15:00,1,0.032699,-0.13552845
2019-05-01  09:15:00,2,0.032699,-0.10200535
2019-05-01  09:15:00,3,0.032699,-0.1461284
2019-05-01  09:30:00,0,0.032699,0.03183981
2019-05-01  09:30:00,1,0.032699,-0.018447518
2019-05-01  09:30:00,2,0.032699,-0.0048324727
2019-05-01  09:30:00,3,0.032699,-0.022356287
