timestep,real,predicted
2,1.3836,1.3524736
3,1.40372,1.3037596
0,0.667713,0.63440955
1,0.663889,0.68430007
2,0.657744,0.6677235
3,0.653167,0.6799613
0,0.919137,0.9600714
1,0.919896,0.93095464
2,0.915089,0.93724144
3,0.906308,0.92149657
0,0.178733,0.07738942
1,0.177,0.18057683
2,0.175912,0.15247299
3,0.175,0.18698362
0,2.864845,2.2154372
1,2.864845,2.575483
2,2.864845,2.4770446
3,2.864845,2.6014209
0,1.343694,1.4622104
1,1.343694,1.3699735
2,1.310294,1.3934268
3,1.310294,1.3562434
0,0.855548,0.8424981
1,0.855548,0.8746959
2,0.855548,0.8634779
3,0.80963,0.87057835
0,0.98035,0.9423002
1,1.009333,0.96578175
2,1.02255,0.9704083
3,1.059917,0.9687767
0,1.163641,1.1438932
1,1.163641,1.084285
2,1.163641,1.1119934
3,1.163641,1.0819669
0,0.4887,0.4577761
1,0.465867,0.47293916
2,0.457846,0.46716753
3,0.453089,0.465845
0,0.206405,0.27844527
1,0.219966,0.18710315
2,0.238361,0.23070194
3,0.256181,0.20712028
0,0.738236,0.74877316
1,0.758006,0.65064746
2,0.774583,0.700863
3,0.785531,0.6648697
0,0.4172,0.48104918
1,0.413983,0.45155746
2,0.410171,0.4607615
3,0.403668,0.45098448
0,0.09,0.06809172
1,0.09,0.117467314
2,0.0894,0.1017405
3,0.088568,0.11306201
0,1.283989,1.2737231
1,1.27046,1.3148626
2,1.253793,1.3023229
3,1.241983,1.3096467
0,1.475422,1.5351188
1,1.475422,1.5218365
2,1.475422,1.5238101
3,1.475422,1.5078802
0,0.897704,1.2108167
1,0.880622,0.98778135
2,0.86495,1.0457149
3,0.848733,0.9658875
0,0.068,0.047618333
1,0.066008,0.022662878
2,0.065883,0.030861817
3,0.063,0.019304413
0,1.202858,1.1494575
1,1.248229,1.2626398
2,1.291633,1.2516114
3,1.338033,1.2841169
0,2.431511,2.482483
1,2.431511,2.4413822
2,2.431511,2.4478793
3,2.431511,2.4293575
0,1.132043,1.2916033
1,1.152086,1.1236709
2,1.166518,1.1769977
3,1.203972,1.1068937
0,0.617265,0.6072069
1,0.632806,0.52342373
2,0.644117,0.56845564
3,0.653356,0.532939
0,0.365522,0.3933834
1,0.363112,0.41875398
2,0.360834,0.4091525
3,0.359266,0.41388166
0,0.911611,1.0792007
1,0.911322,0.93510544
2,0.912091,0.98567826
3,0.909242,0.9236063
0,0.248604,0.2506745
1,0.246867,0.3189431
2,0.245112,0.29828984
3,0.243389,0.31446832
0,0.33046,0.3474633
1,0.34485,0.29610634
2,0.362832,0.3320558
3,0.389867,0.31264699
0,0.3398,0.27671033
1,0.339645,0.29944667
2,0.338988,0.29431096
3,0.326711,0.2917889
0,1.086369,0.9640865
1,1.072094,1.0265552
2,1.05715,1.006794
3,1.030646,1.0229077
0,0.192272,0.2189585
1,0.195189,0.1396206
2,0.197,0.1663082
3,0.1988,0.13453582
0,0.717233,0.6372344
1,0.717261,0.7286523
2,0.711689,0.70149314
3,0.7094,0.7269602
0,1.006267,0.9809196
1,1.013589,0.9115134
2,1.008793,0.95069164
3,1.003978,0.9182967
0,0.347958,0.40842587
1,0.388428,0.41298118
2,0.421548,0.42192146
3,0.452576,0.4171083
0,0.758007,0.70016843
1,0.759281,0.7075101
2,0.753328,0.7030263
3,0.748333,0.697087
0,1.038475,1.0332094
1,1.021928,1.054066
2,1.021928,1.0460606
3,0.996472,1.0466391
0,1.475422,1.3662591
1,1.475422,1.4319054
2,1.475422,1.4207118
3,1.475422,1.4358621
0,0.896467,0.9338091
1,0.8859,0.94283146
2,0.874367,0.93880826
3,0.86155,0.93465316
0,0.461344,0.5759565
1,0.456511,0.5028205
2,0.449556,0.52087045
3,0.442278,0.48573673
0,0.477278,0.47984955
1,0.482506,0.5109526
2,0.490422,0.5002655
3,0.496662,0.505097
0,0.642883,0.67457384
1,0.686656,0.6649267
2,0.700217,0.6707757
3,0.715478,0.65879256
0,1.14915,1.0979373
1,1.14915,1.1397375
2,1.117183,1.1275494
3,1.09965,1.1358894
0,1.267045,1.4833257
1,1.267045,1.4558723
2,1.267045,1.4596823
3,1.267045,1.4474741
0,0.2974,0.29503295
1,0.297,0.28184998
2,0.297,0.28998578
3,0.297,0.2825473
0,0.9068,0.8177871
1,0.9068,0.8113456
2,0.861644,0.8216274
3,0.841233,0.8100212
0,0.129,0.2164516
1,0.128333,0.15664378
2,0.127059,0.17315799
3,0.127,0.14788124
0,0.750321,0.82050234
1,0.750944,0.7063313
2,0.727063,0.74152625
3,0.722756,0.69405717
0,1.664541,1.6944863
1,1.657537,1.6320498
2,1.64205,1.6548444
3,1.629896,1.6243355
0,0.055,0.11805905
1,0.054383,0.15850563
2,0.052,0.14570762
3,0.051722,0.15670718
0,1.3586,1.306808
1,1.3586,1.2783709
2,1.3586,1.2934736
3,1.3586,1.271874
0,0.8739,0.7857603
1,0.8739,0.8170501
2,0.8739,0.80554
3,0.8739,0.81083506
0,0.000267,-0.023170868
1,0.000267,-0.10540297
2,0.000267,-0.07483253
3,0.000267,-0.099878386
0,0.026533,0.021279568
1,0.026,0.031810965
2,0.025867,0.02895531
3,0.025511,0.03210824
0,0.548044,0.5900019
1,0.538657,0.51018864
2,0.527606,0.5292062
3,0.517017,0.4945668
0,0.032256,0.016973397
1,0.031,0.04325966
2,0.030783,0.035561923
3,0.028,0.043938052
0,0.396911,0.35288724
1,0.394511,0.34859112
2,0.38977,0.34675053
3,0.385478,0.33606893
0,0.8643,0.6680768
1,0.882228,0.8221368
2,0.90097,0.8165189
3,0.92017,0.8823083
0,0.909206,0.9257988
1,0.898978,0.94337445
2,0.889939,0.93659294
3,0.878572,0.9334724
0,1.554659,1.4721544
1,1.554659,1.5271604
2,1.554659,1.508915
3,1.494242,1.5200554
0,0.113533,0.079469286
1,0.115833,0.017809764
2,0.118,0.05154319
3,0.120178,0.029933512
0,0.620633,0.6750977
1,0.621711,0.6418294
2,0.620511,0.66608995
3,0.617204,0.64826816
0,1.056333,0.9389053
1,1.090385,1.0836327
2,1.130763,1.068631
3,1.173117,1.1262157
0,1.28082,1.4488239
1,1.269063,1.3316655
2,1.259967,1.3817718
3,1.318664,1.3314112
0,0.007133,0.016976865
1,0.007,0.04330143
2,0.007,0.035589267
3,0.007,0.043976784
0,1.47275,1.5085598
1,1.4328,1.4636474
2,1.4328,1.4718148
3,1.414117,1.4498303
0,0.159056,0.028467955
1,0.158667,0.14457306
2,0.153484,0.11162485
3,0.156505,0.15092993
0,0.949911,1.0801435
1,0.949911,1.049525
2,0.949911,1.0540557
3,0.949911,1.0393976
0,0.149367,0.11019784
1,0.145367,0.17494585
2,0.1413,0.15562579
3,0.138333,0.17138976
0,0.14,0.19899386
1,0.139767,0.15285662
2,0.138,0.16667545
3,0.137456,0.14635716
0,0.844361,0.95521164
1,0.854806,0.8017073
2,0.872598,0.859
3,0.888578,0.7996597
0,0.026955,0.033915564
1,0.027189,-0.06262571
2,0.027467,-0.03327393
3,0.027045,-0.06495415
0,0.615928,0.54786086
1,0.632425,0.64887655
2,0.661542,0.62068427
3,0.6961,0.64959574
0,0.148417,0.16164826
1,0.155111,0.12508819
2,0.163511,0.1428562
3,0.172094,0.124007985
0,0.42,0.42056543
1,0.417434,0.4388116
2,0.414983,0.4317561
3,0.411922,0.43061882
0,0.342694,0.3721293
1,0.336023,0.3766845
2,0.328378,0.3704385
3,0.322,0.36158317
0,0.804711,0.8636055
1,0.804711,0.8610733
2,0.777137,0.8589229
3,0.769656,0.851566
0,0.722378,0.6029767
1,0.719732,0.73466814
2,0.715372,0.69688493
3,0.715372,0.7342817
0,0.192183,0.16791043
1,0.19,0.27648935
2,0.187444,0.24289939
3,0.186,0.27376392
0,0.829232,0.9353361
1,0.859359,0.85531133
2,0.879861,0.89288527
3,0.884131,0.86120874
0,1.431754,0.9891437
