time,timestep,real,predicted
2019-05-02  02:30:00,0,0.030507,-0.04022266
2019-05-02  02:45:00,0,0.030507,-0.04335873
2019-05-02  03:00:00,0,0.030507,-0.037465468
2019-05-02  03:15:00,0,0.030507,-0.038302243
2019-05-02  03:30:00,0,0.030507,-0.046708114
2019-05-02  03:45:00,0,0.030507,-0.05112485
2019-05-02  04:00:00,0,0.030507,-0.05124511
2019-05-02  04:15:00,0,0.030507,-0.042395942
2019-05-02  04:30:00,0,0.030507,-0.048227213
2019-05-02  04:45:00,0,0.030507,-0.064497195
2019-05-02  05:00:00,0,0.030507,-0.06809022
2019-05-02  05:15:00,0,0.030507,-0.06732642
2019-05-02  05:30:00,0,0.030507,-0.053684793
2019-05-02  05:45:00,0,0.030507,-0.03675571
2019-05-02  06:00:00,0,0.030507,-0.042140827
2019-05-02  06:15:00,0,0.030507,-0.028005727
2019-05-02  06:30:00,0,0.030507,-0.018021956
2019-05-02  06:45:00,0,0.030507,0.022473428
2019-05-02  07:00:00,0,0.030507,0.033590656
2019-05-02  07:15:00,0,0.030507,0.035344403
2019-05-02  07:30:00,0,0.030507,0.047202125
2019-05-02  07:45:00,0,0.030507,0.046849784
2019-05-02  08:00:00,0,0.030507,0.045505367
2019-05-02  08:15:00,0,0.030507,0.061042108
2019-05-02  08:30:00,0,0.030507,0.06874968
2019-05-02  08:45:00,0,0.030507,0.110609606
2019-05-02  09:00:00,0,0.030507,0.20705244
2019-05-02  09:15:00,0,0.030507,0.085554674
2019-05-02  09:30:00,0,0.030507,0.06642718
2019-05-02  09:45:00,0,0.030507,0.108030975
2019-05-02  10:00:00,0,0.030507,0.083179705
2019-05-02  10:15:00,0,0.030507,-0.03251695
2019-05-02  10:30:00,0,0.030507,0.15354997
2019-05-02  10:45:00,0,0.030507,0.12274073
2019-05-02  11:00:00,0,0.030507,0.048777685
2019-05-02  11:15:00,0,0.030507,0.14310479
2019-05-02  11:30:00,0,0.030507,0.1403934
2019-05-02  11:45:00,0,0.030507,0.13285795
2019-05-02  12:00:00,0,0.030507,0.12515542
2019-05-02  12:15:00,0,0.030507,0.12692565
2019-05-02  12:30:00,0,0.030507,0.14657211
2019-05-02  12:45:00,0,0.030507,0.16155678
2019-05-02  13:00:00,0,0.030507,0.14435193
2019-05-02  13:15:00,0,0.030507,0.12053311
2019-05-02  13:30:00,0,0.030507,0.1256179
