timestep,real,predicted
0,1.47675,1.3923694
0,0.611611,0.57019836
0,1.296933,1.2623239
0,1.828467,1.7717487
0,0.282,0.19106063
0,0.043744,-0.013286836
0,1.749511,1.7139524
0,0.488385,0.4680594
0,0.234656,0.19713259
0,0.027722,0.04475964
0,0.780725,0.81763154
0,0.371732,0.38691235
0,0.305278,0.23954901
0,1.159328,1.0733275
0,1.431754,1.3902882
0,0.223,0.007666722
0,0.768178,0.7759769
0,0.8739,0.7646234
0,0.843854,0.7827661
0,1.035961,0.95404696
0,0.684941,0.6541768
0,0.300006,0.3374429
0,2.070173,2.057552
0,0.960794,0.91267943
0,0.30707,0.2379626
0,0.073733,0.035750955
0,0.637522,0.5902385
0,1.361491,1.3902127
0,1.659776,1.672752
0,0.1149,0.07806662
0,1.134256,1.0886819
0,0.898317,0.91528106
0,0.66567,0.63592947
0,0.224133,0.19216776
0,0.084056,0.0767809
0,0.97525,0.9657787
0,0.773689,0.78753024
0,1.093167,1.0963014
0,0.3028,0.21009946
0,0.480467,0.39269143
0,0.098,0.016920041
0,0.720591,0.74660355
0,0.018779,0.04707606
0,0.648644,0.61230797
0,0.922157,0.87027305
0,0.544585,0.509222
0,0.6434,0.5962421
0,0.0117,0.038076203
0,0.825542,0.78251064
0,0.037,0.055137545
0,0.037767,0.030732729
0,1.387656,1.4288049
0,1.4569,1.5289366
0,0.0042,0.053610846
0,1.261074,1.230748
0,0.165056,0.12042032
0,0.839433,0.8197664
0,0.224774,0.2166855
0,1.331383,1.2960895
0,0.052583,0.09778617
0,0.878189,0.83930236
0,1.376425,1.3057082
0,0.667713,0.67238486
0,0.919137,0.9840495
0,0.178733,0.058542855
0,2.864845,2.721964
0,1.343694,1.3858488
0,0.855548,0.8346477
0,0.98035,0.9296493
0,1.163641,1.1686296
0,0.4887,0.42547616
0,0.206405,0.3772076
0,0.738236,0.65882736
0,0.4172,0.44200692
0,0.09,0.037400443
0,1.283989,1.2665992
0,1.475422,1.4674326
0,0.897704,1.0126754
0,0.068,0.011688858
0,1.202858,1.2191892
0,2.431511,2.3833325
0,1.132043,1.1441702
0,0.617265,0.53708774
0,0.365522,0.355811
0,0.911611,0.94434416
0,0.248604,0.2510898
0,0.33046,0.2913221
0,0.3398,0.35296088
0,1.086369,1.0489872
0,0.192272,0.12886626
0,0.717233,0.67997134
0,1.006267,0.8923362
0,0.347958,0.32855627
0,0.758007,0.6872294
0,1.038475,0.99851006
0,1.475422,1.4138933
0,0.896467,0.9142387
0,0.461344,0.44080964
0,0.477278,0.4800021
0,0.642883,0.5464603
0,1.14915,1.1115026
0,1.267045,1.2937313
0,0.2974,0.270189
0,0.9068,0.84194374
0,0.129,0.12845111
0,0.750321,0.76119375
0,1.664541,1.6724279
0,0.055,0.10735135
0,1.3586,1.3130677
0,0.8739,0.84269917
0,0.000267,0.073831424
0,0.026533,0.041737497
